State/Region,District,MIMU District Name,District Pcode,Households,Electrified Households 2017-18,Un-Electrified Households 2017-18,Electrified Households 2018-19,Un-Electrified Households 2018-19,Percentage Electrified Households
Rakhine,Myauk U,Mrauk-U,MMR012D005,"145,987","17,573","128,414","25,825","120,162",17.69%
Rakhine,Sittwe,Sittwe,MMR012D001,"109,256","26,224","83,032","32,978","76,278",30.18%
Rakhine,Thandwe,Thandwe,MMR012D004,"83,593","24,986","58,607","28,788","54,805",34.44%
Sagaing,Kalay,Kale,MMR005D005,"106,562","11,160","95,402","13,559","93,003",12.72%
Sagaing,Kanbalu,Kanbalu,MMR005D010,"75,415","28,460","46,955","31,644","43,771",41.96%
Sagaing,Katha,Katha,MMR005D004,"167,956","54,210","113,746","60,801","107,155",36.20%
Sagaing,Khanti,Hkamti,MMR005D008,"30,921",0,"30,921",0,"30,921",0.00%
Sagaing,Mawlite,Mawlaik,MMR005D007,"30,591",0,"30,591",0,"30,591",0.00%
Sagaing,Monywa,Monywa,MMR005D003,"163,545","80,308","83,237","88,156","75,389",53.90%
Sagaing,Ngar Ga,,#N/A,"30,921",0,"30,921",0,"30,921",0.00%
Sagaing,Sagaing,Sagaing,MMR005D001,"114,709","53,242","61,467","61,448","53,261",53.57%
Sagaing,Shwebo,Shwebo,MMR005D002,"236,062","65,383","170,679","75,520","160,542",31.99%
Sagaing,Tamu,Tamu,MMR005D006,"22,591","5,110","17,481","6,033","16,558",26.71%
Sagaing,Yinmabin,Yinmarbin,MMR005D009,"117,584","25,733","91,851","31,087","86,497",26.44%
Shan,Hopan,Hopang,MMR015D006,"35,630",,"35,630",0,"35,630",0.00%
Shan,Kunlon,Kunlong,MMR015D004,"10,392",,"10,392",0,"10,392",0.00%
Shan,Kyaukme,Kyaukme,MMR015D003,"163,679",,"163,679","52,184","111,495",31.88%
Shan,Kyeinton,Kengtung,MMR016D001,"102,982",0,"102,982","17,042","85,940",16.55%
Shan,Lashio,Lashio,MMR015D001,"125,181",,"125,181","55,864","69,317",44.63%
Shan,Lauk Kai,Laukkaing,MMR015D005,"24,846",,"24,846",0,"24,846",0.00%
Shan,Lin Khae,Langkho,MMR014D003,"34,362","14,637","19,725","15,358","19,004",44.69%
Shan,Loi Lin,Loilen,MMR014D002,"111,390","35,175","76,215","38,284","73,106",34.37%
Shan,Monephat (Tachilake),Tachileik,MMR016D003,"61,034",0,"61,034","21,076","39,958",34.53%
Shan,Monghsat,Monghsat,MMR016D002,"44,931",0,"44,931","4,128","40,803",9.19%
Shan,Muse,Muse,MMR015D002,"86,255",,"86,255","35,663","50,592",41.35%
Shan,Taunggyi,Taunggyi,MMR014D001,"368,887","168,493","200,394","185,851","183,036",50.38%
Tanintharyi,Dawei,Dawei,MMR006D001,"104,092","55,558","48,534","70,146","33,946",67.39%
Tanintharyi,Kawthaung,Kawthoung,MMR006D003,"46,088","13,545","32,543","13,711","32,377",29.75%
Tanintharyi,Myeik,Myeik,MMR006D002,"132,919","36,593","96,326","44,764","88,155",33.68%
Yangon,Eastern,Yangon (East),MMR013D002,"468,607","416,342","52,265","416,342","52,265",88.85%
Yangon,Northern,Yangon (North),MMR013D001,"436,077","202,095","233,982","205,595","230,482",47.15%
Yangon,Southern,Yangon (South),MMR013D003,"341,770","128,361","213,409","131,182","210,588",38.38%
Yangon,Western,Yangon (West),MMR013D004,"179,182","179,182",0,"179,182",0,100.00%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
