id,Title,Description,Objective,Sector,Coordination Bodies,Status,Collaboration Type,Aid Type Categories,Finance Types,Total Commitment,Total Disbursement,Total Commitment USD,Total Disbursement USD,Transaction count,Filtered Commitment USD,Filtered Disbursement USD,Filtered Transaction count,Reporting Organisation,Financing,Extending,Implementing,Partner Ministry,State/Region,Township,Planned Start date,Planned End date,Actual Start date,Actual End date,Contact Name,Contact Phone,Contact Email,IATI Identifer,IATI Linked,IATI Sync
MM-FERD-ID9338,Quality improvement for MNCH services,"Increased national and subnational capacity to provide equitable access to quality, high-impact maternal, newborn and child health services.","Increased equitable access and use of quality high impact maternal, newborn and child health (MNCH) services.",Basic health,Health Sector Coordination Group,Completion,Multilateral,Project-type interventions,Grant,34454857.01,34115974.96,34454857.01,34115974.96,1600,34454857.01,34115974.96,40,United Nations Children's Fund,"Gavi, the Vaccine Alliance| United Nations Development Programme| United Nations Office for Project Services| UNICEF Core Resources| United Nations Children's Fund| United Nations Foundation Inc.",United Nations Children's Fund,United Nations Population Fund| Myanmar Health Assistant Association| United Nations Children's Fund,Ministry of Health and Sports,Nation-wide - 100.00%,,2014-01-01,2017-12-31,2014-01-01,2017-12-31,Paul Edwards (Mr.),Tel: +95 1 2305960-69 Ext: 1427,pedwards@unicef.org,,False,
MM-FERD-ID1539,Prevent & respond to grave violation,National and international standards are implemented to prevent and respond to grave violations against children as per UNSC Resolutions 1612/1882 and to contribute to on-going peace building including responding to emergencies.,"Children in need of support, care and protection are identified by and have access to public social welfare systems.","Multisector aid for basic social services(50.00%),Child soldiers (Prevention and demobilisation)(50.00%)",Social Protection and Disaster Management Sector Coordination Group,Completion,Multilateral,Project-type interventions,Grant,14392316.36,14371465.76,14392316.36,14371465.76,9025,14392316.36,14371465.76,95,United Nations Children's Fund,Government of Switzerland| United Nations Development Programme| UK - Department for International Development| US Bureau of East Asian and Pacific Affairs| United Nations Office of Co-ordination of Humanitarian Affairs| DFAT - Australian Aid Program| Government of Japan| UNICEF Core Resources| United States Centers for Disease Control and Prevention| UNITED KINGDOM| Embassy of Sweden / Section Office Yangon| European Union| Global Affairs Canada| Government of Denmark| U.S. Agency for International Development| Government of the Netherlands,United Nations Children's Fund,Save the Children - Myanmar| Danish Refugee Council| Relief International| Myanmar Red Cross Society| Plan International| Danish Church Aid| World Vision,"Ministry of Social Welfare, Relief and Resettlement| Ministry of Home Affairs| Ministry of Labour, Immigration and Population",Nation-wide - 100.00%,,2014-01-01,2017-12-31,2014-01-01,2017-12-31,Paul Edwards (Mr.),Tel: +95 1 2305960-69 Ext: 1427,pedwards@unicef.org,,False,
MM-FERD-ID105,Myanmar National Community Driven Development Project,The development objective is to enable poor rural communities to benefit from improved access to and use of basic infrastructure and services through a people-centered approach and to enhance the governments capacity to respond promptly and effectively to an eligible crisis or emergency. ,"to enable poor rural communities to benefit
from improved access to and use of basic infrastructure and services through a people-centered
approach and to enhance the Recipient’s capacity to respond promptly and effectively to an
eligible crisis or emergency.",Rural development,Agriculture and Rural Development Sector Coordination Group,Implementation,Multilateral,Project-type interventions,Grant,480000000,433162557.4,480000000,433162557.4,9,480000000,433162557.4,3,World Bank,World Bank,,"Ministry of Agriculture, Livestock and Irrigation","Ministry of Agriculture, Livestock and Irrigation",Nation-wide - 100.00%,Kanpetlet - 100.00%,2013-01-11,2021-11-30,2013-01-11,2021-11-30,Kyaw Soe Lynn,654824,klynn@worldbank.org,,False,
MM-FERD-ID5662,Equipping Youth for Employment Project,"This program will provide cohesive support to secondary education subsector (SES) and technical and vocational education and training (TVET) reforms, to ensure these subsectors are mutually aligned and collectively serve Myanmar's evolving labor market and socioeconomic context.","As a sector development program (SDP), complementary policy-level and investment project components will support rationalization of SES and TVET and address key interlinked challenges in subsector management, access, and quality and relevance via 3 outputs: (i) policy frameworks and capacities for cohesive, workforce-responsive education and TVET enhanced; (ii) new SES curriculum delivered and access; and (iii) new TVET programs introduced and access expanded.",Vocational training,Education and TVET Sector Coordination Group,Pipeline/identification,Multilateral,Project-type interventions,Loan,98490000,6915047.18,98490000,6915047.18,576,98490000,6915047.18,24,Asian Development Bank,Asian Development Bank,Ministry of Planning and Finance,Ministry of Education,Ministry of Education,Nation-wide - 100.00%,,2017-02-28,2022-02-18,,,Mr. Christopher Spohr,+95 067 810 6280,cspohr@adb.org,46004-48431-003-LN3472,True,
MM-FERD-ID1225,Power Transmission Improvement Project,This project is to  increase the reliable supply of electricity to urban and rural consumers by rehabilitating distribution networks and expanding transmission lines in selected areas.,"The project will (i) construct 8.4 kilometer (km) of 230 kilovolt (kV) transmission line between Thida and Thaketa substations, and 8.4 km of 230 kV transmission line between Thaketa and Kyaikasan substations; (ii) extend the switchyard of the existing 230 kV Thaketa substation to accommodate two new 230 kV transmission lines; (iii) upgrade the existing 66 kV Kyaikasan substation to 230 kV substation; (iv) build new 230 kV substations at South Okkalapa and West University; and (v) strengthen the capacity of the staff of Myanmar Electric Power Enterprise (MEPE). The project will help to complete the critically important 230 kV transmission ring supplying electricity for the Yangon region and ensure reliable electricity supply to support sustainable economic development for Myanmar.",Electrical transmission/ distribution,Energy and Electric Power Sector Coordination Group,Implementation,Multilateral,Project-type interventions,Loan,80000000,0,80000000,0,900,80000000,0,30,Asian Development Bank,Asian Development Bank,Ministry of Planning and Finance,Ministry of Electricity and Energy,Ministry of Electricity and Energy,Yangon Region - 100.00%,,2016-04-26,2021-12-31,2016-04-26,,Mr. Duy-Thanh Bui,+63 2 632 4444,buiduythanh@adb.org,46004-46390-002-LN3330,True,
MM-FERD-ID3,Regional Development Project for Poverty Reduction Phase 1,"This project aims at newly building and rehabilitating basic infrastructure (roads, electricity, water supply, etc.) in seven regions and seven states of Myanmar. Through implementation of this project, improvement of quality of life of residents in rural areas and contribution to development and reduction of poverty in the rural areas are expected.",,Other social infrastructure and services,Energy and Electric Power Sector Coordination Group,Implementation,Bilateral,Project-type interventions,Loan,2298000000,33005000000,22710375.66,310702294.5,49,22710375.66,310702294.5,7,Government of Japan,Government of Japan,,Japan International Co-operation Agency,Ministry of Planning and Finance,Nation-wide - 100.00%,,2013-05-26,2016-06-30,2013-05-26,2018-09-01,Economic & ODA Section,01-549644~8,eco@yn.mofa.go.jp,,False,
MM-FERD-ID0473,WASH in emergency,"Preparedness and response for sufficient safe water, sanitation facilities and improved hygiene practices meet the core commitments of children and women in humanitarian situations.",Water and excreta related diseases in under-5 children are equitably reduced.,Basic drinking water supply and basic sanitation,Health Sector Coordination Group,Completion,Multilateral,Project-type interventions,Grant,21839696.99,12741023.6,21839696.99,12741023.6,4489,21839696.99,12741023.6,67,United Nations Children's Fund,XX - Japanese NGOs| UK - Department for International Development| United Nations Office of Co-ordination of Humanitarian Affairs| DFAT - Australian Aid Program| Government of Japan| UNICEF Core Resources| UNITED KINGDOM| Embassy of Sweden / Section Office Yangon| Government of Denmark| Government of Turkey| U.S. Agency for International Development,United Nations Children's Fund,Save the Children - Myanmar| Solidarites International| Danish Refugee Council| Relief International| Metta Development Foundation| Oxfam| Kachin Baptist Convention,"Ministry of Education| Ministry of Health and Sports| Ministry of Agriculture, Livestock and Irrigation",Kachin State - 30.00% | Rakhine State - 70.00%,,2014-01-01,2017-12-31,2014-01-01,2017-12-31,Paul Edwards (Mr.),Tel: +95 1 2305960-69 Ext: 1427,pedwards@unicef.org,,False,
MM-FERD-ID2559,MANAGEMENT AND OPS SUPPORT,Staff and Non-staff cost - Management and operation support.,"The regular and humanitarian response is effectively supported through enhanced management, planning, M&E, advocacy & partnership, communication, supply and operational supports.",Other multisector,"Education and TVET Sector Coordination Group(33.33%),Health Sector Coordination Group(33.33%),Social Protection and Disaster Management Sector Coordination Group(33.34%)",Completion,Multilateral,Project-type interventions 58.0%|Administrative costs not included elsewhere 42.0%,Grant,15748399.71,15732235.05,15748399.71,15732235.05,3969,15748399.71,15732235.05,63,United Nations Children's Fund,UK - Department for International Development| United Nations Office for Project Services| United States Department of State| DFAT - Australian Aid Program| Government of Germany| Government of Japan| UNICEF Core Resources| European Union| UNITED KINGDOM| Embassy of Sweden / Section Office Yangon| United Nations Office of Co-ordination of Humanitarian Affairs| Government of Denmark| Government of France| Government of the Netherlands,United Nations Children's Fund,United Nations Children's Fund,Ministry of Planning and Finance,Nation-wide - 100.00%,,2014-01-01,2017-12-31,2014-01-01,2017-12-31,Paul Edwards (Mr.),Tel: +95 1 2305960-69 Ext: 1427,pedwards@unicef.org,,False,
MM-FERD-ID1219,Mandalay Urban Services Improvement Project (Loan Component),"The project will support an improved urban environment and public health in Mandalay by providing for  (i) water supply system improvements, (ii) drainage and flood protection, (iii) wastewater management, and (iv) institutional capacity strengthening and public awareness raising.","The project will help Mandalay further grow as the cultural, educational, and economic hub of Upper Myanmar and act as a national economic center. This approach will foster balanced national development by reducing the concentration of population and economic activities in Yangon and promoting economic growth in Mandalay Region and its surroundings.",Basic sanitation,Health Sector Coordination Group,Pipeline/identification,Multilateral,Project-type interventions,Loan,60000000,1756318.06,60000000,1756318.06,900,60000000,1756318.06,30,Asian Development Bank,Asian Development Bank| Government of France,Ministry of Planning and Finance,Mandalay Regional Government,Mandalay Regional Government,Mandalay Region - 100.00%,,2016-09-09,2023-09-30,2016-09-09,,Ms. Eri Honda,+63 2 6324444,ehonda@adb.org,46004-47127-002-LN3316,True,
MM-FERD-ID2744,Irrigated Agriculture Inclusive Development Project,"The Central Dry Zone (CDZ) region, straddling large parts of Mandalay, Magway and lower Sagaing divisions, is one of the most food insecure, water-stressed, climate sensitive and natural resource poor regions in Myanmar. The CDZ region has the second highest population density in Myanmar but remains one of the least developed. Access and availability of water resources are key determinants of rural poverty with livelihoods largely dependent on the southwest monsoon. Principal crops in the CDZ consist of oil seeds and legumes, chillies, and vegetables grown as rainfed, upland crops during the wet season. Rice cultivation depends on irrigation, even during the monsoon season. Seasonal water shortages caused by low and erratic annual rainfall patterns and sandy and fragile soils that are at high risk of water and wind erosion limit paddy rice cultivation, render rainfed agriculture a high risk endeavor, and contribute to low agricultural production. Under such uncertain climatic and rainfall conditions, the provision of functional canal irrigation systems is critical to safeguarding crops.","The project is aligned with the government priorities on food security and agricultural growth articulated in Myanmar's Framework for Economic and Social Reforms', in particular, the emphasis on (i) rural infrastructure, including small and medium scale irrigation systems and (ii) broader development of the rural sector through community-based development schemes and cash for work' rural works programs. The ADB's Interim Country Partnership Strategy (2012 2014) for Myanmar, aligned with ADB's Water Operational Plan 2011-2020, emphasizes increasing agricultural productivity, and creating access and connectivity for rural livelihoods and infrastructure development as key program areas.",Agricultural water resources,Agriculture and Rural Development Sector Coordination Group,Implementation,Multilateral,Project-type interventions,Loan,75000000,792703.49,75000000,792703.49,576,75000000,792703.49,24,Asian Development Bank,Asian Development Bank,Ministry of Planning and Finance,"Ministry of Agriculture, Livestock and Irrigation","Ministry of Agriculture, Livestock and Irrigation",Magway Region - 50.00% | Mandalay Region - 50.00%,,2017-03-22,2024-08-30,2017-03-22,,Mr Pavit Ramachandran,+63 2 632 4444,pramachandran@adb.org,46004-47152-002-LN3477,True,
GB-1-107614-102,"Contribution to the Three Diseases Fund for HIV, Tuberculosis and Malaria in Burma",,,"Malaria control(36.61%),Tuberculosis control(21.12%),STD control including HIV/AIDS(42.27%)",None,Post-completion,Bilateral,Project-type interventions,Grant,34000000,10250000,63562807.56,16227406.49,169,63562807.56,16227406.49,13,UK - Department for International Development,UNITED KINGDOM| UK - Department for International Development,UK - Department for International Development,United Nations Office for Project Services,,,,2006-10-01,2013-04-30,2006-10-01,2013-04-30,,+44 (0) 1355 84 3132,enquiry@dfid.gov.uk,,False,
MM-FERD-ID929,Essential Health Services Access Project,"The project is intended to increase coverage of essential health services of adequate quality, with a focus on maternal, newborn and child health in Myanmar. The project would thus contribute to Myanmar’s move towards Universal Health Coverage.","The project is intended to increase coverage of essential health services of adequate quality, with a focus on maternal, newborn and child health in Myanmar. The project would thus contribute to Myanmar’s move towards Universal Health Coverage.","Health policy and administrative management(58.00%),Basic health infrastructure(42.00%)",Health Sector Coordination Group,Implementation,Multilateral,Project-type interventions,Loan,100000000,64304990,100000000,64304990,64,100000000,64304990,8,World Bank,World Bank,World Bank,Ministry of Health and Sports,Ministry of Health and Sports,Nation-wide - 100.00%,,2014-08-15,2019-06-30,2014-10-14,,Kyaw Soe Lynn,654824,klynn@worldbank.org,44000-P149960,True,
MM-FERD-ID0999,IMPROVED QUALITY& CHILD CENTER OF BE,Improved quality of teaching & learning practices in basic education in targeted townships in government and monastic schools and in both mono-grade and multi grade schools.,"Support the Government in improving the quality of basic education nationally, through the child-friendly school initiative.",Education policy and administrative management,Education and TVET Sector Coordination Group,Completion,Multilateral,Project-type interventions,Grant,14321833.67,14273749.89,14321833.67,14273749.89,1444,14321833.67,14273749.89,38,United Nations Children's Fund,UK - Department for International Development| DFAT - Australian Aid Program| Government of Germany| Government of Japan| UNICEF Core Resources| European Union| UNITED KINGDOM| Government of Denmark| Government of Norway| Government of the Netherlands,United Nations Children's Fund,Ministry of Education| United Nations Children's Fund,Ministry of Education,Nation-wide - 100.00%,,2011-01-01,2015-12-31,2011-01-01,2013-12-31,Shalini Bahuguna,Tel: +95 1 2305960-69 Ext: 1427,sbahuguna@unicef.org,,False,
GB-1-202149-102,"Contribution to the Three MDG Fund for addressing essential maternal and child health needs of poor and vulnerable women, children and for people with HIV, Tuberculosis and Malaria in Burma",,,"Malaria control(12.49%),Tuberculosis control(9.37%),Reproductive health care(46.88%),Family planning(26.05%),STD control including HIV/AIDS(5.21%)",None,Implementation,Bilateral,Project-type interventions,Grant,40000000,40000000,62618094,64422190.99,64,62618094,64422190.99,8,UK - Department for International Development,UNITED KINGDOM| UK - Department for International Development,UK - Department for International Development,United Nations Office for Project Services,,Nation-wide - 100.00%,,2012-06-29,2016-12-31,2012-06-29,,,+44 (0) 1355 84 3132,enquiry@dfid.gov.uk,,False,
MM-FERD-ID1233,Public Financial Management Modernization Project,"The development objective of the Modernization of Public Finance Management (PFM) Project for Myanmar is to support efficient, accountable, and responsive delivery of public services through the modernization of Myanmar's PFM systems and strengthening institutional capacity. The project has five components. The first component will support developing systems and procedures for capturing more revenues from natural resource sectors on-budget and addressing identified weaknesses in tax administration. This component will be closely linked to government implementation of the extractive industries transparency initiative and will support the development of the business processes and corresponding reporting and recording systems to move revenues on-budget. The second component is aimed at supporting the new mandates of the budget and planning departments and the evolving decentralization process in Myanmar. To help inform decisions and debate on budgetary allocations, this component will also work towards improving the quality and timeliness of information available both internally and externally through basic computerization of current manual compilation process for the current and investment budgets. The third component, support for effective budget execution will focus on the establishment and effective operationalization of the treasury department, creating an effective procurement function, and building the ability of Myanmar Economic Bank (MEB) to manage the state fund account in order to ensure business continuity in view of the Central Bank of Myanmar (CBM) separation from the Ministry of Finance (MOF). The fourth component will strengthen Myanmar's nascent structures for external oversight and accountability and thus complement improvements in the quality and transparency of budgetary information. It has following two sub-components: (i) supporting the parliamentary public accounts committee; and (ii) enhancing operational effectiveness of the auditor general's office. The fifth component aims to address the specific challenges faced by Myanmar with respect to the skills required to operate a modern public financial management system. The project will support the establishment of a PFM academy that will serve as a nucleus for developing and facilitating provision of just in time, on the job, operational training within a sustainable framework.","The objective of the project is to support efficient, accountable and responsive delivery of public services through the modernization of Myanmar's PFM systems and strengthening institutional capacity.","Education policy and administrative management(37.00%),Public sector financial management(46.00%),Monetary institutions(17.00%)",Macroeconomic Management Sector Coordination Group,Implementation,Multilateral,Project-type interventions,Loan,30000000,17508100,30000000,17508100,441,30000000,17508100,21,World Bank,World Bank,World Bank,Ministry of Planning and Finance,Ministry of Planning and Finance,Naypyitaw - 100.00%,,2014-06-10,2019-09-30,2014-04-02,,Kyaw Soe Lynn,654824,klynn@worldbank.org,44000-P144952,True,
